NOME,ENDEREÇO,LAT LONG,ESPORTES,QTD QUADRAS,COBERTURA
Prainha ZO,"Av. Afonso Olindense, 797 - Várzea, Recife - PE, 50810-000","-8.037761940429611, -34.95676683228279","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",3,Tela
Prainha ZN,"R. Ernâni Braga, 555 - Madalena, Recife - PE, 50610-350","-8.048465861979052, -34.91051322362936","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",3,Tela
Prainha ZS,"R. Poe. Manuel Bandeira, 250 - Imbiribeira, Recife - PE, 51170-580","-8.098510394523704, -34.91371725567672","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",3,Tela
Arena Clube Arruda,"R. do Machado, 312 - Arruda, Recife - PE, 52120-250","-8.02307211319628, -34.88954625795777","VÔLEI DE PRAIA, FUTEBOL SOCIETY",4,"Tela, Telhado"
Belém Beach,"R. Martins Ribeiro, 224 - Hipódromo, Recife - PE, 52041-720","-8.033438568099116, -34.88636658995566","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",2,Tela
Arena Olimpo,"R. Gomes Taborda, 750 C - Cordeiro, Recife - PE, 50720-650","-8.056672756100241, -34.91846427460962",VÔLEI DE PRAIA,1,Nenhuma
Magos Arena,"R. Frei Teófilo de Virgoletta, 329 - Cordeiro, Recife - PE, 50720-660","-8.05486685202859, -34.91850718995566","VÔLEI DE PRAIA, FUTEVÔLEI",1,Telhado
Society Souza Leão,"R. Frei Teófilo de Virgoletta, 325 - Cordeiro, Recife - PE, 50720-660","-8.05511427546961, -34.9185062064186",FUTEBOL SOCIETY,1,Telhado
Sacada Club,"R. Paes Cabral, 444 - Cordeiro, Recife - PE, 50630-170","-8.052473703946445, -34.92543732097134","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",2,Tela
Zero 81 Olinda,"Av. Min. Marcos Freire - Casa Caiada, Olinda - PE, 53130-440","-7.993238287924054, -34.83871609720506","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",2,Nenhuma
Zero 81 Boa Viagem,"Av. Boa Viagem, 2784 - Atrás do quiosque 17 - Boa Viagem, Recife - PE, 51020-000","-8.113077870635328, -34.89112735966999","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",2,Nenhuma
Arena Sunset,"R. Dr. Geraldo de Andrade, 166 - Espinheiro, Recife - PE, 52021-220","-8.042638705246635, -34.888990523629644","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",2,Tela
Top Vôlei ,"Av. Min. Marcos Freire, 3651 - Casa Caiada, Olinda - PE, 53040-030","-7.981028985963955, -34.83535735301191","VÔLEI DE PRAIA, FUTEVÔLEI",1,Nenhuma
Seven Beach Club Olinda,"R. Carmelita Muniz de Araújo, 105 - Casa Caiada, Olinda - PE, 53130-320","-7.993753572400333, -34.83992414391789","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",7,"Tela, Nenhuma"
Seven Beach Club Aflitos,"R. Gomes de Matos Júnior, 116 - Aflitos, Recife - PE, 52050-420","-8.035379506663384, -34.895455059878934","VÔLEI DE PRAIA, FUTEVÔLEI, BEACH TÊNNIS",7,"Tela, Nenhuma"
Arena Jardim,"R. Leobina Pereira, 347 - Jardim São Paulo, Recife - PE, 50910-260","-8.07949625987699, -34.94216934181413","VÔLEI DE PRAIA, FUTEVÔLEI",2,Tela
Clube dos Oficiais PM/CBM-PE,"Av. João de Barros, 357 - Boa Vista, Recife - PE, 50050-180","-8.051715095018965, -34.89013846134006",FUTEBOL SOCIETY,1,Tela
Arena Soccer Abdias,"R. Diniz Barreto, 127 - Prado, Recife - PE, 50720-220","-8.06208686841959, -34.91181149689408",FUTEBOL SOCIETY,2,Tela
Ginásio Marcelino Lopes - Clube do Sport,"Av. Eng. Abdias de Carvalho, S/N - Ilha do Retiro, Recife - PE, 50720-635","-8.064272075895964, -34.90406670403157",FUTEBOL SOCIETY,2,Tela
Arena Bongi Club,"R. Isaac Markman, 432 - Bongi, Recife - PE, 50751-370","-8.064324783866155, -34.92076593932963",FUTEBOL SOCIETY,1,Tela
Academia Do Gol,"R. Prof. Benedito Monteiro, 565 - Madalena, Recife - PE, 50720-001","-8.059776505283933, -34.90411976598627",FUTEBOL SOCIETY,4,Tela
Clube Português do Recife,"Av. Conselheiro Rosa e Silva, 172 - Graças, Recife - PE, 52020-220","-8.049923563005272, -34.89648551677905","FUTSAL, VÔLEI DE PRAIA",3,"Telhado, Tela"
Arena Society,"Av. Dr. José Rufino, 765 - Areias, Recife - PE, 50900-660","-8.087308788243288, -34.93142103080816",FUTEBOL SOCIETY,1,Tela
Quatro Linhas Futebol Society,"R. Vinte e Um de Abril, 681 - Afogados, Recife - PE, 50820-000","-8.075928410052528, -34.91295399694206",FUTEBOL SOCIETY,1,Tela
Arena Prime Futebol Society Ltda,"R. Profa. Laura Ferreira da Costa, 100 - Cordeiro, Recife - PE, 50721-770","-8.055245789937926, -34.92937391011701",FUTEBOL SOCIETY,1,Tela
Camisa 10 Society,"R. Rosa Cândida, 28 - Zumbi, Recife - PE, 50720-500","-8.053669812479729, -34.91702698672219",FUTEBOL SOCIETY,1,Tela
Arena Fire Society,"Av. Caxangá, 5405 - Várzea, Recife - PE, 50740-000","-8.033260165897325, -34.952531858172925",FUTEBOL SOCIETY,1,Tela
Arena Deep,"R. Cap. Aurélio de Araújo, 254 - Iputinga, Recife - PE, 50731-230","-8.041053480984075, -34.93277069928787","VÔLEI DE PRAIA, FUTEVÔLEI",1,Tela
Arena Duna,"R. Álvares Píres, 16 - Cordeiro, Recife - PE, 50713-140","-8.042489542561984, -34.92641044609248","VÔLEI DE PRAIA, FUTEVÔLEI",1,Tela
